{'#8': [43.5,11.6,5.8,10.1,15.9,7.2,2.9, None, None, None, None, None,2.9, None, None], '#3': 108, '#2': 'ALS', '#1': 'Intro to Agr & Applied Econ', '#7': 3.052, '#6': 69, '#5': '001', '#4': '215'},,,,43.5,11.6,5.8,10.1,15.9,7.2,2.9, None, None, None, None, None,2.9, None, None
{'#8': [24.5,14.3,34.7,4.1,18.4, None,2, None, None, None, None, None, None, None, 2.0], '#3': 108, '#2': 'ALS', '#1': 'Environment&Global Economy', '#7': 3.052, '#6': 49, '#5': '001', '#4': '244'},,,,24.5,14.3,34.7,4.1,18.4, None,2, None, None, None, None, None, None, None, 2.0
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Independent Study', '#7': None, '#6': 1, '#5': '080', '#4': '299'},,,,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
{'#8': [None,16.7,33.3,33.3,16.7, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Independent Study', '#7': 2.75, '#6': 6, '#5': '001', '#4': '306'},,,,None,16.7,33.3,33.3,16.7, None, None, None, None, None, None, None, None, None, None
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Independent Study', '#7': None, '#6': 2, '#5': '002', '#4': '306'},,,,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
{'#8': [26.3,15.8,31.6,15.8,5.3, None,5.3, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'The Internatl Ag Economy', '#7': 3.053, '#6': 19, '#5': '001', '#4': '319'},,,,26.3,15.8,31.6,15.8,5.3, None,5.3, None, None, None, None, None, None, None, None
{'#8': [36.0,16,6,20,12,8,2, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Commodity Markets', '#7': 3.0, '#6': 50, '#5': '001', '#4': '322'},,,,36.0,16,6,20,12,8,2, None, None, None, None, None, None, None, None
{'#8': [34.0,24.7,19.6,11.3,9.3, None, None, None, None, None, None, None, None, None, 1.0], '#3': 108, '#2': 'ALS', '#1': 'World Hunger & Malnutrition', '#7': 3.318, '#6': 97, '#5': '001', '#4': '350'},,,,34.0,24.7,19.6,11.3,9.3, None, None, None, None, None, None, None, None, None, 1.0
{'#8': [52.4,23.8,9.5, None, None, None, None, None, None, None, None, None, None, None, 14.3], '#3': 108, '#2': 'ALS', '#1': 'Globalizatn, Poverty&Develpmnt', '#7': 3.75, '#6': 21, '#5': '001', '#4': '373'},,,52.4,23.8,9.5, None, None, None, None, None, None, None, None, None, None, None, 14.3
{'#8': [59.3,18.5, None,3.7,3.7, None, None,14.8, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Special Topics', '#7': 3.739, '#6': 27, '#5': '001', '#4': '375'},,,,59.3,18.5, None,3.7,3.7, None, None,14.8, None, None, None, None, None, None, None
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Special Topics', '#7': None, '#6': 1, '#5': '093', '#4': '399'},,,,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Special Topics', '#7': None, '#6': 1, '#5': '097', '#4': '399'},,,,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
{'#8': [64.7,17.6,11.8, None, None, None,5.9, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Latin Amer Economc Develpmt', '#7': 3.559, '#6': 17, '#5': '001', '#4': '462'},,,,64.7,17.6,11.8, None, None, None,5.9, None, None, None, None, None, None, None, None
{'#8': [25.9,22.2,14.8,25.9,7.4, None, None, None, None, None, None, None,3.7, None, None], '#3': 108, '#2': 'ALS', '#1': 'Econ Probs-Developing Areas', '#7': 3.173, '#6': 27, '#5': '001', '#4': '474'},,,,25.9,22.2,14.8,25.9,7.4, None, None, None, None, None, None, None,3.7, None, None
{'#8': [85.7,10.7,1.8, None, None, None, None, None, None, None, None, None,1.8, None, None], '#3': 108, '#2': 'ALS', '#1': 'Senior Capstone Experience', '#7': 3.927, '#6': 56, '#5': '001', '#4': '500'},,,,85.7,10.7,1.8, None, None, None, None, None, None, None, None, None,1.8, None, None
{'#8': [88.9,11.1, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Community Economic Analysis', '#7': 3.944, '#6': 9, '#5': '001', '#4': '520'},,,,88.9,11.1, None, None, None, None, None, None, None, None, None, None, None, None, None
{'#8': [35.7,14.3,35.7, None,14.3, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Natural Resource Economics', '#7': 3.286, '#6': 14, '#5': '001', '#4': '531'},,,,35.7,14.3,35.7, None,14.3, None, None, None, None, None, None, None, None, None, None
{'#8': [41.7,41.7,16.7, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Applied Econometric Anal II', '#7': 3.625, '#6': 12, '#5': '001', '#4': '637'},,,,41.7,41.7,16.7, None, None, None, None, None, None, None, None, None, None, None, None
{'#8': [46.2,53.8, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Fndtns Development Economics', '#7': 3.731, '#6': 13, '#5': '001', '#4': '642'},,,,46.2,53.8, None, None, None, None, None, None, None, None, None, None, None, None, None
{'#8': [40.0,8,8,24,12,8, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Fndtns Environ/Resource Econ', '#7': 3.04, '#6': 25, '#5': '001', '#4': '643'},,,,40.0,8,8,24,12,8, None, None, None, None, None, None, None, None, None
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Decisn Meth-Nat Resrc Mangr', '#7': None, '#6': 1, '#5': '001', '#4': '652'},,,,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
{'#8': [58.3,29.2,4.2,8.3, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Energy Economics', '#7': 3.688, '#6': 24, '#5': '001', '#4': '671'},,,,58.3,29.2,4.2,8.3, None, None, None, None, None, None, None, None, None, None, None
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Energy Economics', '#7': None, '#6': 1, '#5': '080', '#4': '699'},,,,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Energy Economics', '#7': None, '#6': 1, '#5': '085', '#4': '699'},,,,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Energy Economics', '#7': None, '#6': 1, '#5': '103', '#4': '699'},,,,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
{'#8': [42.9,42.9, None,14.3, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Development Economics 1', '#7': 3.571, '#6': 7, '#5': '001', '#4': '730'},,,,42.9,42.9, None,14.3, None, None, None, None, None, None, None, None, None, None, None
{'#8': [18.8,37.5,25,6.3,6.3, None, None, None, None, None, None, None,6.3, None, None], '#3': 108, '#2': 'ALS', '#1': 'Econometrics Res/Energy Demand', '#7': 3.3, '#6': 16, '#5': '001', '#4': '772'},,,,18.8,37.5,25,6.3,6.3, None, None, None, None, None, None, None,6.3, None, None
{'#8': [27.8,44.4,27.8, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Sem Res/Energy Demand Analysis', '#7': 3.5, '#6': 18, '#5': '001', '#4': '773'},,,,27.8,44.4,27.8, None, None, None, None, None, None, None, None, None, None, None, None
{'#8': [40.0,33.3,26.7, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Practicum Res/Energy Demand I', '#7': 3.567, '#6': 15, '#5': '001', '#4': '774'},,,,40.0,33.3,26.7, None, None, None, None, None, None, None, None, None, None, None, None
{'#8': [87.5,12.5, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Research Colloquium', '#7': 3.938, '#6': 8, '#5': '001', '#4': '780'},,,,87.5,12.5, None, None, None, None, None, None, None, None, None, None, None, None, None
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Pract:Ag&Appl Econ Teaching', '#7': None, '#6': 2, '#5': '085', '#4': '799'},,,,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Pract:Ag&Appl Econ Teaching', '#7': None, '#6': 2, '#5': '073', '#4': '990'},,,,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Pract:Ag&Appl Econ Teaching', '#7': None, '#6': 4, '#5': '080', '#4': '990'},,,,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Pract:Ag&Appl Econ Teaching', '#7': None, '#6': 4, '#5': '082', '#4': '990'},,,,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Pract:Ag&Appl Econ Teaching', '#7': None, '#6': 2, '#5': '085', '#4': '990'},,,,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Pract:Ag&Appl Econ Teaching', '#7': None, '#6': 5, '#5': '088', '#4': '990'},,,,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Pract:Ag&Appl Econ Teaching', '#7': None, '#6': 1, '#5': '089', '#4': '990'},,,,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Pract:Ag&Appl Econ Teaching', '#7': None, '#6': 1, '#5': '090', '#4': '990'},,,,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Pract:Ag&Appl Econ Teaching', '#7': None, '#6': 3, '#5': '092', '#4': '990'},,,,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'AGRICULTURAL AND APPLIED E', '#7': None, '#6': 4, '#5': '093', '#4': '990'},,,,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'AGRICULTURAL AND APPLIED E', '#7': None, '#6': 4, '#5': '095', '#4': '990'},,,,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'AGRICULTURAL AND APPLIED E', '#7': None, '#6': 1, '#5': '096', '#4': '990'},,,,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'AGRICULTURAL AND APPLIED E', '#7': None, '#6': 1, '#5': '097', '#4': '990'},,,,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
