TERM : 1204		Percentage Distribution of Grades								Office of the Registrar	
Spring 2019-2020		University of Wisconsin - Madison									
""		(Non-Cross Listed)									
ALS											
AGRICULTURAL AND APPLIED E Section #	Ave	A AB B BC C D	F	S/SD	U/UD	CR	N	P	I	NW	NR Other
108 A A E Grades	GPA										
Intro to Ag & Applied Econ 215 001 63	3.508	38.1 34.9 11.1 7.9 3.2 .	.	1.6	3.2	.	.	.	.	.	..
Environment&Global Economy 244 001 35	3.956	91.4 2.9 2.9 ...	.	.	2.9	.	.	.	.	.	..
The Real Estate Process 306 001 1	***					.	.	.	.	.	..
Commodity Markets 322 001 46	3.284	23.9 15.2 26.1 13.0 2.2 .	.	15.2	4.3	.	.	.	.	.	..
Intro to Data Analysis 335 001 44	3.881	77.3 13.6 4.5 ...	.	2.3	2.3	.	.	.	.	.	..
Environmental Economics 343 001 18	3.721	55.6 16.7 16.7 ...	.	5.6	.	.	.	.	5.6	.	..
World Hunger & Malnutrition 350 001 92	3.678	55.4 28.3 9.8 2.2 2.2 .	.	1.1	.	.	.	.	1.1	.	..
Growth&Develpmt Global Econ 374 001 9	3.750	44.4 44.4 ....	.	11.1	.	.	.	.	.	.	..
399 097 1	***					.	.	.	.	.	..
399 101 1	***					.	.	.	.	.	..
Coord Intrnshp/Cooprtv Educ Course Total 2	***										
Agricultural Finance 419 001 40	3.235	27.5 27.5 15.0 7.5 .5.0	2.5	10.0	5.0	.	.	.	.	.	..
Econ Probs-Developing Areas 474 001 19	3.947	94.7 .5.3 ...	.	.	.	.	.	.	.	.	..
Senior Capstone Experience 500 001 42	4.000	100.0 .....	.	.	.	.	.	.	.	.	..
Community Economic Analysis 520 001 5	***					.	.	.	.	.	..
Applied Econometric Anal II 637 001 5	***					.	.	.	.	.	..
Fndtns Development Economics 642 001 6	3.917	83.3 16.7 ....	.	.	.	.	.	.	.	.	..
Fndtns Environ/Resource Econ 643 001 8	4.000	100.0 .....	.	.	.	.	.	.	.	.	..
Energy Economics 671 001 8	3.643	50.0 12.5 25.0 ...	.	.	12.5	.	.	.	.	.	..
699 055 1	***					.	.	.	.	.	..
699 080 1	***					.	.	.	.	.	..
699 082 2	***					.	.	.	.	.	..
699 107 1	***					.	.	.	.	.	..
Special Problems Course Total 5	***										
Applied Risk Analysis 706 001 25	3.667	32.0 64.0 ....	.	4.0	.	.	.	.	.	.	..
Seminar Quant & Applied Econ 720 001 20	3.947	85.0 10.0 ....	.	5.0	.	.	.	.	.	.	..
Prof Comm of Applied Econ Anly 721 001 23	3.548	34.8 30.4 26.1 ...	.	8.7	.	.	.	.	.	.	..
Development Economics 1 730 001 6	3.500	50.0 16.7 16.7 16.7 ..	.	.	.	.	.	.	.	.	..
Applied Econometric Analysis 3 737 001 12	3.500	25.0 50.0 25.0 ...	.	.	.	.	.	.	.	.	..
Agricultural Economics 2 747 001 4	***					.	.	.	.	.	..
Econometrics Res/Energy Demand 772 001 26	3.630	42.3 26.9 19.2 ...	.	11.5	.	.	.	.	.	.	..
Sem Res/Energy Demand Analysis 773 001 6	4.000	100.0 .....	.	.	.	.	.	.	.	.	..
Practicum Res/Energy Demand I 774 001 6	3.917	83.3 16.7 ....	.	.	.	.	.	.	.	.	..
Research Colloquium 780 001 7	3.917	71.4 14.3 ....	.	14.3	.	.	.	.	.	.	..
Game Theory&Political Analysis 835 001 1	***					.	.	.	.	.	..
990 055 1	***					.	.	.	.	.	..
990 059 3	***					.	.	.	.	.	..
990 073 3	***					.	.	.	.	.	..
990 080 2	***					.	.	.	.	.	..
August 24, 2020											Page 1 of 447
* Please note: This report does not combine crosslisted courses											
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.											
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"											
TERM : 1204		Percentage Distribution of Grades									Office of the Registrar	
Spring 2019-2020		University of Wisconsin - Madison										
""		(Non-Cross Listed)										
ALS												
AGRICULTURAL AND APPLIED E Section #	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P	I	NW	NR Other
108 A A E Grades	GPA											
990 082 3	***						.	.	.	.	.	..
990 086 1	***						.	.	.	.	.	..
990 088 4	***						.	.	.	.	.	..
990 089 2	***						.	.	.	.	.	..
990 090 1	***						.	.	.	.	.	..
990 093 3	***						.	.	.	.	.	..
990 095 5	***						.	.	.	.	.	..
990 096 1	***						.	.	.	.	.	..
990 097 7		......	.		100.0	.	.	.	.	.	.	..
990 098 1	***						.	.	.	.	.	..
990 103 1	***						.	.	.	.	.	..
Research and Thesis Course Total 38		.  .  .  .  .  .	.		97.4	.	.	.	2.6		.  .	.  .
999 059 1	***						.	.	.	.	.	..
999 089 5	***						.	.	.	.	.	..
Spec Work-Ag & Appl Economics Course Total 6	3.818	66.7 .  16.7 .  .  .	.		.	.	.	.	.	16.7	.	.  .
108 A A E Dept. Total 628	3.678	53.7 21.0 9.4 2.7 0.8 0.3	0.2		9.9	1.4	.	.	0.2	0.5	.	.  .
Summary by Level #	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P	I	NW	NR Other
GPA108 A A EGrades												
Freshmen 21	3.487	52.4 9.5 19.0 9.5 4.8 .	.		.	4.8	.	.	.		.  .	.  .
Sophomore 44	3.747	54.5 34.1 4.5 2.3 .  .	.		2.3	2.3	.	.	.		.  .	.  .
Junior 131	3.661	51.9 22.1 13.7 3.1 .  .	.		6.1	2.3	.	.	.	0.8	.	.  .
Senior 215	3.661	61.9 17.7 8.4 4.2 1.9 0.9	0.5		3.3	1.4	.	.	.		.  .	.  .
Undergraduates 411	3.661	57.4 20.4 10.2 3.9 1.2 0.5	0.2		3.9	1.9	.	.	.	0.2	.	.  .
Special 60	3.760	55.0 25.0 8.3 .  .  .	.		10.0	.	.	.	.	1.7	.	.  .
Graduate 157	3.715	43.3 21.0 7.6 0.6 .  .	.		25.5	0.6	.	.	0.6	0.6	.	.  .
Dept. Total 628	3.678	53.7 21.0 9.4 2.7 0.8 0.3	0.2		9.9	1.4	.	.	0.2	0.5	.	.  .
August 24, 2020												Page 2 of 447
* Please note: This report does not combine crosslisted courses												
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.												
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"												
TERM : 1204			Percentage Distribution of Grades										Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison											
""			(Non-Cross Listed)											
ALS														
BIOLOGICAL SYSTEMS ENGINE Section	"#"	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
112 BSE Grades		GPA												
1 010	1	***						.	.	.		.	.	..
1 014	1	***						.	.	.		.	.	..
Cooperative Educ Program Course Total	2	***												
Product Design Practicum 170 001	20	3.842	70.0 20.0 5.0 ...	.		.	5.0	.	.	.		.	.	..
299 025	2	***						.	.	.		.	.	..
299 033	1	***						.	.	.		.	.	..
299 035	1	***						.	.	.		.	.	..
Independent Study Course Total	4	***												
Career Management-Engineers 308 001	84		......	.		.	.	97.6	2.4	.		.	.	..
Quant Technqs-Biological Systm 349 001	64	3.159	7.8 23.4 20.3 9.4 1.6 1.6	.		26.6	9.4	.	.	.		.	.	..
Engr Prop-Food & Biol Matls 364 001	17	3.423	17.6 29.4 29.4 ...	.		23.5	.	.	.	.		.	.	..
Measrmt&Instrumntn-Biol Sys 365 001	55	3.260	20.0 25.5 32.7 7.3 5.5 .	.		9.1	.	.	.	.		.	.	..
367 001	89	3.620	42.7 36.0 12.4 1.1 .1.1	.		6.7	.	.	.	.		.	.	..
367 003	1	***						.	.	.		.	.	..
Renewable Energy Systems Course Total	90	3.625	43.3 35.6 12.2 1.1 .  1.1	.		6.7	.	.	.		.		.  .	.  .
399 001	1	***						.	.	.		.	.	..
399 014	2	***						.	.	.		.	.	..
399 030	1	***						.	.	.		.	.	..
Coord Intrnshp/Cooprtv Educ Course Total	4	***												
Heat and Mass Transfer 464 001	23	2.909	13.0 26.1 17.4 17.4 17.4 4.3	.		4.3	.	.	.	.		.	.	..
Sedmnt & Bio-Nutr Engr&Mgmt 472 001	25	3.318	36.0 16.0 16.0 16.0 .4.0	.		12.0	.	.	.	.		.	.	..
Engr Princpl Off-Road Vehicles 476 001	25	3.050	8.0 8.0 52.0 8.0 4.0 .	.		20.0	.	.	.	.		.	.	..
Biol Sys Engr Dsgn Practicum I 508 002	57	3.700	61.4 26.3 5.3 .1.8 .	1.8		.	.	.	.	.		3.5	.	..
Biology in Engineering Seminar 517 001	4	***						.	.	.		.	.	..
Small Watershed Engineering 571 001	22	3.294	18.2 22.7 27.3 4.5 4.5 .	.		18.2	.	.	.	.		4.5	.	..
799 009	1	***						.	.	.		.	.	..
799 018	1	***						.	.	.		.	.	..
Practicum-Ag Engr Teaching Course Total	2	***												
Graduate Research Seminar 901 001	9	3.944	88.9 11.1 ....	.		.	.	.	.	.		.	.	..
990 003	4	***						.	.	.		.	.	..
990 009	3	***						.	.	.		.	.	..
990 010	1	***						.	.	.		.	.	..
990 014	1	***						.	.	.		.	.	..
990 018	4	***						.	.	.		.	.	..
990 025	1	***						.	.	.		.	.	..
990 030	2	***						.	.	.		.	.	..
990 031	1	***						.	.	.		.	.	..
990 033	2	***						.	.	.		.	.	..
990 035	2	***						.	.	.		.	.	..
990 038	3	***						.	.	.		.	.	..
990 039	2	***						.	.	.		.	.	..
August 24, 2020														Page 3 of 447
* Please note: This report does not combine crosslisted courses														
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.														
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"														
TERM : 1204			Percentage Distribution of Grades									Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison										
""			(Non-Cross Listed)										
ALS													
BIOLOGICAL SYSTEMS ENGINE Section #		Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P	I	NW	NR Other
112 BSE Grades		GPA											
990 040 1		***						.	.	.	.	.	..
Research Course Total 27			.  .  .  .  .  .	.		33.3	.	.	.	66.7		.  .	.  .
112 BSE Dept. Total 534		3.410	26.8 19.3 14.6 4.1 2.1 0.7	0.2		10.1	1.3	16.1	0.4	3.4	0.9	.	.  .
Summary by Level #		Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P	I	NW	NR Other
GPA112 BSEGrades													
Freshmen 3		***						.	.	.		.  .	.  .
Sophomore 20		3.691	45.0 25.0 10.0 .  .  .	.		5.0	5.0	5.0	5.0	.		.  .	.  .
Junior 101		3.389	17.8 17.8 9.9 3.0 .  2.0	.		9.9	5.0	33.7	1.0	.		.  .	.  .
Senior 357		3.386	27.7 20.7 17.6 4.8 3.1 0.6	0.3		9.5	.	14.3	.	.	1.4	.	.  .
Undergraduates 481		3.400	26.6 20.2 15.6 4.2 2.3 0.8	0.2		9.4	1.5	17.9	0.4	.	1.0	.	.  .
Special 7		3.357	28.6 28.6 28.6 14.3 .  .	.		.	.	.	.	.		.  .	.  .
Graduate 46		3.671	28.3 8.7 2.2 2.2 .  .	.		19.6	.	.	.	39.1		.  .	.  .
Dept. Total 534		3.410	26.8 19.3 14.6 4.1 2.1 0.7	0.2		10.1	1.3	16.1	0.4	3.4	0.9	.	.  .
August 24, 2020													Page 4 of 447
* Please note: This report does not combine crosslisted courses													
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.													
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"													
TERM : 1204		Percentage Distribution of Grades										Office of the Registrar	
Spring 2019-2020		University of Wisconsin - Madison											
""		(Non-Cross Listed)											
ALS													
LIFE SCIENCES COMMUNICATIO Section #	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
120 LSC Grades	GPA												
100 001 13	3.682	61.5 .15.4 7.7 ..	.		15.4	.	.	.	.		.	.	..
100 002 11	3.944	72.7 9.1 ....	.		18.2	.	.	.	.		.	.	..
100 003 13	3.917	76.9 15.4 ....	.		7.7	.	.	.	.		.	.	..
100 004 13	3.750	46.2 23.1 7.7 ...	.		15.4	7.7	.	.	.		.	.	..
100 005 15	3.731	53.3 20.0 13.3 ...	.		13.3	.	.	.	.		.	.	..
100 006 16	3.867	68.8 25.0 ....	.		.	6.3	.	.	.		.	.	..
100 007 16	3.821	68.8 12.5 .6.3 ..	.		6.3	6.3	.	.	.		.	.	..
100 008 16	3.750	75.0 12.5 6.3 .6.3 .	.		.	.	.	.	.		.	.	..
100 009 14	3.808	64.3 21.4 7.1 ...	.		7.1	.	.	.	.		.	.	..
100 010 15	3.667	66.7 20.0 .6.7 6.7 .	.		.	.	.	.	.		.	.	..
100 011 16	3.750	68.8 18.8 6.3 6.3 ..	.		.	.	.	.	.		.	.	..
