{'dept_num': 108, 'course_num': 215, 'instructor_name': 'TESSA CONROY', 'section_num': '001', 'instructor_id': '0005851160'},,,TESSA CONROY',TESSA CONROY,0005851160'},0005851160,,108,215,0005851160,TESSA CONROY
{'dept_num': 108, 'course_num': 215, 'instructor_name': 'JIE FENG', 'section_num': '301', 'instructor_id': '0005476579'},,,JIE FENG',JIE FENG,0005476579'},0005476579,,108,215,0005476579,JIE FENG
{'dept_num': 108, 'course_num': 215, 'instructor_name': 'JIE FENG', 'section_num': '302', 'instructor_id': '0005476579'},,,JIE FENG',JIE FENG,0005476579'},0005476579,,108,215,0005476579,JIE FENG
{'dept_num': 108, 'course_num': 215, 'instructor_name': 'JIE FENG', 'section_num': '303', 'instructor_id': '0005476579'},,,JIE FENG',JIE FENG,0005476579'},0005476579,,108,215,0005476579,JIE FENG
{'dept_num': 108, 'course_num': 215, 'instructor_name': 'JIE FENG', 'section_num': '304', 'instructor_id': '0005476579'},,,JIE FENG',JIE FENG,0005476579'},0005476579,,108,215,0005476579,JIE FENG
{'dept_num': 108, 'course_num': 244, 'instructor_name': 'BRADFORD BARHAM', 'section_num': '001', 'instructor_id': '0002602096'},,,BRADFORD BARHAM',BRADFORD BARHAM,0002602096'},0002602096,,108,244,0002602096,BRADFORD BARHAM
{'dept_num': 108, 'course_num': 244, 'instructor_name': 'NICHOLAS HUDSON', 'section_num': '301', 'instructor_id': '0003359006'},,,NICHOLAS HUDSON',NICHOLAS HUDSON,0003359006'},0003359006,,108,244,0003359006,NICHOLAS HUDSON
{'dept_num': 108, 'course_num': 244, 'instructor_name': 'NICHOLAS HUDSON', 'section_num': '302', 'instructor_id': '0003359006'},,,NICHOLAS HUDSON',NICHOLAS HUDSON,0003359006'},0003359006,,108,244,0003359006,NICHOLAS HUDSON
{'dept_num': 108, 'course_num': 244, 'instructor_name': 'NICHOLAS HUDSON', 'section_num': '303', 'instructor_id': '0003359006'},,,NICHOLAS HUDSON',NICHOLAS HUDSON,0003359006'},0003359006,,108,244,0003359006,NICHOLAS HUDSON
{'dept_num': 108, 'course_num': 244, 'instructor_name': 'NICHOLAS HUDSON', 'section_num': '304', 'instructor_id': '0003359006'},,,NICHOLAS HUDSON',NICHOLAS HUDSON,0003359006'},0003359006,,108,244,0003359006,NICHOLAS HUDSON
{'dept_num': 108, 'course_num': 299, 'instructor_name': 'XIAODONG DU', 'section_num': '097', 'instructor_id': '0003112273'},,,XIAODONG DU',XIAODONG DU,0003112273'},0003112273,,108,299,0003112273,XIAODONG DU
{'dept_num': 108, 'course_num': 306, 'instructor_name': 'MARK EPPLI', 'section_num': '001', 'instructor_id': '0000572375'},,,MARK EPPLI',MARK EPPLI,0000572375'},0000572375,,108,306,0000572375,MARK EPPLI
{'dept_num': 108, 'course_num': 306, 'instructor_name': 'LAUREN LOFTON', 'section_num': '002', 'instructor_id': '0000678518'},,,LAUREN LOFTON',LAUREN LOFTON,0000678518'},0000678518,,108,306,0000678518,LAUREN LOFTON
