TERM : 1202,,Percentage Distribution of Grades,,,,,,,,,,Office of the Registrar
Fall 2019-2020,,University of Wisconsin - Madison,,,,,,,,,,
"",,(Non-Cross Listed),,,,,,,,,,
ALS,,,,,,,,,,,,
AGRICULTURAL AND APPLIED E Section #,Ave,A AB B BC C D F,,,S,U,CR,N,P,,I,NW NR Other
108 A A E Grades,GPA,,,,,,,,,,,
Intro to Ag & Applied Econ 215 001 47,3.128,27.7 17.0 25.5 17.0 10.6 2.1 .,,,.,.,.,.,.,,.,...
Climate Change Econ & Policy 246 001 77,3.125,20.8 26.0 24.7 14.3 11.7 1.3 .,,,1.3,.,.,.,.,,.,...
299 079 1,***,,,,,,.,.,.,,.,...
299 097 2,***,,,,,,.,.,.,,.,...
Independent Study Course Total 3,***,,,,,,,,,,,
The Real Estate Process 306 001 2,***,,,,,,.,.,.,,.,...
Farming Systems Management 320 001 56,2.955,14.3 28.6 32.1 8.9 5.4 8.9 1.8,,,.,.,.,.,.,,.,...
Cooperatives 323 001 8,3.375,62.5 25.0 ....12.5,,,.,.,.,.,.,,.,...
Issues in Food Systems 340 001 1,***,,,,,,.,.,.,,.,...
Environmental Economics 343 001 20,3.134,35.0 10.0 20.0 10.0 15.0 5.0 .,,,.,.,.,.,.,,.,.5.0 .
"Energy, Resources & Economics 371 001 8",3.563,50.0 12.5 37.5 ....,,,.,.,.,.,.,,.,...
"Globalizatn, Poverty&Develpmnt 373 001 14",3.769,57.1 28.6 7.1 ....,,,.,.,.,.,.,,7.1,...
375 002 29,3.638,65.5 24.1 3.4 .3.4 .3.4,,,.,.,.,.,.,,.,...
375 003 13,3.962,92.3 7.7 .....,,,.,.,.,.,.,,.,...
Special Topics Course Total 42,3.697,73.8 19.0 2.4 .  2.4 .  2.4,,,.,.,.,.,,.,,.  .  .  .
Economic Decision Analysis 421 001 29,3.286,31.0 37.9 10.3 3.4 10.3 .3.4,,,.,.,.,.,.,,3.4,...
Econ Grwth&Devlpmnt-SE Asia 473 001 16,3.063,43.8 18.8 6.3 6.3 12.5 6.3 6.3,,,.,.,.,.,.,,.,...
Agri & Econ Development-Africa 477 001 18,3.611,44.4 33.3 22.2 ....,,,.,.,.,.,.,,.,...
Quant Mthds-Ag & Appl Econ 526 001 9,4.000,77.8 ......,,,11.1,.,.,.,.,,11.1,...
Intellectual Property Rights 540 001 7,3.643,42.9 42.9 14.3 ....,,,.,.,.,.,.,,.,...
Applied Microeconomic Thry 635 001 18,3.472,27.8 38.9 33.3 ....,,,.,.,.,.,.,,.,...
Applied Econometric Anal I 636 001 38,3.743,63.2 21.1 10.5 2.6 ...,,,2.6,.,.,.,.,,.,...
699 055 1,***,,,,,,.,.,.,,.,...
699 097 2,***,,,,,,.,.,.,,.,...
699 102 1,***,,,,,,.,.,.,,.,...
Special Problems Course Total 4,***,,,,,,,,,,,
Professional Development Sem 723 001 7,4.000,100.0 ......,,,.,.,.,.,.,,.,...
Pract for Applied Economists 724 001 7,3.500,.14.3 .....,,,.,.,.,.,.,,85.7,...
Development Economics 2 731 001 6,3.500,.50.0 .....,,,.,.,.,.,.,,50.0,...
Microecon Resources & Energy 771 001 9,3.056,.33.3 44.4 22.2 ...,,,.,.,.,.,.,,.,...
Sem Res/Energy Demand Analysis 773 001 4,***,,,,,,.,.,.,,.,...
Survey & Sample Design 777 001 14,3.571,42.9 35.7 14.3 7.1 ...,,,.,.,.,.,.,,.,...
Special Topics 875 001 6,3.417,16.7 50.0 33.3 ....,,,.,.,.,.,.,,.,...
990 055 1,***,,,,,,.,.,.,,.,...
990 059 1,***,,,,,,.,.,.,,.,...
990 073 3,***,,,,,,.,.,.,,.,...
990 080 2,***,,,,,,.,.,.,,.,...
990 082 3,***,,,,,,.,.,.,,.,...
990 088 7,,.......,,,100.0,.,.,.,.,,.,...
990 089 3,***,,,,,,.,.,.,,.,...
990 090 1,***,,,,,,.,.,.,,.,...
990 093 3,***,,,,,,.,.,.,,.,...
"January 27, 2020",,,,,,,,,,,,Page 1 of 420
* Please note: This report does not combine crosslisted courses,,,,,,,,,,,,
"*** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.",,,,,,,,,,,,
TERM : 1202,,Percentage Distribution of Grades,,,,,,,,,,Office of the Registrar
Fall 2019-2020,,University of Wisconsin - Madison,,,,,,,,,,
"",,(Non-Cross Listed),,,,,,,,,,
ALS,,,,,,,,,,,,
AGRICULTURAL AND APPLIED E Section #,Ave,A AB B BC C D,F,,,S,U,CR,N,P,I,NW NR Other
108 A A E Grades,GPA,,,,,,,,,,,
990 095 5,***,,,,,,,.,.,.,.,...
990 096 1,***,,,,,,,.,.,.,.,...
990 097 5,***,,,,,,,.,.,.,.,...
990 098 1,***,,,,,,,.,.,.,.,...
990 105 1,***,,,,,,,.,.,.,.,...
Research and Thesis Course Total 37,,.  .  .  .  .  .,.,,,75.7,.,.,.,24.3,,.  .  .  .
999 059 1,***,,,,,,,.,.,.,.,...
999 074 1,***,,,,,,,.,.,.,.,...
Spec Work-Ag & Appl Economics Course Total 2,***,,,,,,,,,,,
108 A A E Dept. Total 509,3.317,35.4 22.4 16.9 6.5 5.1 1.8,1.0,,,6.1,.,.,.,1.8,2.6,.  0.6 .
Summary by Level #,Ave,A AB B BC C D,F,,,S,U,CR,N,P,I,NW NR Other
108 A A E Grades,GPA,,,,,,,,,,,
Freshmen 26,3.023,23.1 23.1 15.4 15.4 23.1 .,.,,,.,.,.,.,.,,.  .  .  .
Sophomore 50,3.047,28.0 16.0 28.0 16.0 8.0 4.0,.,,,.,.,.,.,.,,.  .  .  .
Junior 91,3.125,28.6 28.6 18.7 4.4 9.9 3.3,3.3,,,.,.,.,.,.,1.1,.  2.2 .
Senior 143,3.334,38.5 23.8 20.3 7.7 4.9 2.1,0.7,,,0.7,.,.,.,.,1.4,.  .  .
Undergraduates 310,3.200,32.6 23.9 20.6 8.7 8.4 2.6,1.3,,,0.3,.,.,.,.,1.0,.  0.6 .
Special 59,3.583,50.8 32.2 10.2 1.7 .  1.7,1.7,,,1.7,.,.,.,.,,.  .  .  .
Graduate 139,3.597,35.3 15.1 11.5 3.6 .  .,.,,,20.9,.,.,.,6.5,6.5,.  0.7 .
Prof Yr 4 1,***,,,,,,,.,.,.,100.0,.  .  .
Professionals 1,***,,,,,,,.,.,.,100.0,.  .  .
Dept. Total 509,3.317,35.4 22.4 16.9 6.5 5.1 1.8,1.0,,,6.1,.,.,.,1.8,2.6,.  0.6 .
"January 27, 2020",,,,,,,,,,,,Page 2 of 420
* Please note: This report does not combine crosslisted courses,,,,,,,,,,,,
"*** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.",,,,,,,,,,,,
TERM : 1202,,Percentage Distribution of Grades,,,,,,,,,,Office of the Registrar
Fall 2019-2020,,University of Wisconsin - Madison,,,,,,,,,,
"",,(Non-Cross Listed),,,,,,,,,,
ALS,,,,,,,,,,,,
BIOLOGICAL SYSTEMS ENGINEESection #,Ave,A AB B BC C D,F,,,S,U,CR,N,P,I,NW NR Other
112 BSE Grades,GPA,,,,,,,,,,,
1 005 1,***,,,,,,,.,.,.,.,...
1 010 1,***,,,,,,,.,.,.,.,...
1 030 1,***,,,,,,,.,.,.,.,...
1 033 1,***,,,,,,,.,.,.,.,...
Cooperative Educ Program Course Total 4,***,,,,,,,,,,,
Land Surveying Fundamentals 201 001 34,3.221,23.5 41.2 8.8 8.8 17.6 .,.,,,.,.,.,.,.,.,...
Engr Principles-Biol Systms 249 001 69,3.094,21.7 11.6 47.8 7.2 8.7 2.9,.,,,.,.,.,.,.,.,...
Intro to Computer Aided Design 270 001 47,3.587,51.1 25.5 12.8 4.3 4.3 .,.,,,.,.,.,.,.,.,.2.1 .
Independent Study 299 036 1,***,,,,,,,.,.,.,.,...
Renewable Energy Systems 367 001 63,3.333,31.7 25.4 25.4 12.7 4.8 .,.,,,.,.,.,.,.,.,...
On-Site Waste Water Treatment 372 001 32,3.047,9.4 25.0 37.5 21.9 6.3 .,.,,,.,.,.,.,.,.,...
Coord Intrnshp/Cooprtv Educ 399 005 1,***,,,,,,,.,.,.,.,...
Biorefining: Energy & Products 460 001 12,3.458,25.0 50.0 16.7 8.3 ..,.,,,.,.,.,.,.,.,...
Food&Bioprocessing Operations 461 001 19,3.361,15.8 42.1 31.6 5.3 ..,.,,,.,.,.,.,.,5.3,...
Irrigatn&Drainage Sys Dsgn 473 001 35,3.429,37.1 31.4 17.1 8.6 5.7 .,.,,,.,.,.,.,.,.,...
