{'#8': [33.3, 17.2, 34.4, 4.3, 7.5, 2.2, None, 1.1, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Intro to Agr & Applied Econ', '#7': 3.283, '#6': 93, '#5': '001', '#4': '215'}
{'#8': [15.5, 25.9, 29.3, 15.5, 10.3, 1.7, 1.7, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Environment&Global Economy', '#7': 3.017, '#6': 58, '#5': '001', '#4': '244'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Independent Study', '#7': None, '#6': 1, '#5': '097', '#4': '299'}
{'#8': [5.9, 41.2, 11.8, 23.5, 17.6, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Independent Study', '#7': 2.971, '#6': 17, '#5': '001', '#4': '306'}
{'#8': [None, None, 28.6, 14.3, 14.3, None, 14.3, 28.6, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Independent Study', '#7': 2.1, '#6': 7, '#5': '002', '#4': '306'}
{'#8': [23.2, 26.8, 8.9, 12.5, 10.7, 14.3, 1.8, 1.8, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Commodity Markets', '#7': 2.855, '#6': 56, '#5': '001', '#4': '322'}
{'#8': [35.3, 17.6, 23.5, 11.8, 5.9, None, None, 5.9, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Environmental Economics', '#7': 3.317, '#6': 17, '#5': '001', '#4': '343'}
{'#8': [14.6, 41.1, 21.9, 13.2, 5.3, 2.0, 0.7, None, None, None, None, None, 1.3, None, None], '#3': 108, '#2': 'ALS', '#1': 'World Hunger & Malnutrition', '#7': 3.174, '#6': 151, '#5': '001', '#4': '350'}
{'#8': [54.3, 20.0, 17.1, 2.9, 2.9, 2.9, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Globalizatn, Poverty&Develpmnt', '#7': 3.543, '#6': 35, '#5': '001', '#4': '373'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Coord Intrnshp/Cooprtv Educ', '#7': None, '#6': 1, '#5': '089', '#4': '399'}
{'#8': [9.7, 9.7, 16.1, 19.4, 29.0, 9.7, 6.5, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Economic Decision Analysis', '#7': 2.371, '#6': 31, '#5': '001', '#4': '421'}
{'#8': [55.6, 27.8, 5.6, None, 11.1, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Latin Amer Economc Develpmt', '#7': 3.583, '#6': 18, '#5': '001', '#4': '462'}
{'#8': [45.0, 20.0, 10.0, 5.0, 5.0, 10.0, 5.0, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Econ Probs-Developing Areas', '#7': 3.125, '#6': 20, '#5': '001', '#4': '474'}
{'#8': [36.8, 22.8, 22.8, 7.0, 8.8, None, 1.8, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Senior Capstone Experience', '#7': 3.307, '#6': 57, '#5': '001', '#4': '500'}
